compound,protein_id,source,gene_name
Hyperforin,O75469,Literature_Moore2000_DrugMetabDispos,NR1I2
Hyperforin,Q9Y210,Literature_Leuner2007_NatMed,TRPC6
Hyperforin,P08684,Literature_PXR_Induction,CYP3A4
Hyperforin,P11712,Literature_PXR_Induction,CYP2C9
Hyperforin,P20813,Literature_PXR_Induction,CYP2B6
Hyperforin,P08183,Literature_Hennessy2002_BrJClinPharmacol,ABCB1
Hyperforin,Q9UNQ0,Literature_BCRP_Inhibition,ABCG2
Hyperforin,P31749,Literature_Quiney2006_Blood,AKT1
Hyperforin,P08253,Literature_Quiney2006_Angiogenesis,MMP2
Hyperforin,P14780,Literature_Quiney2006_Angiogenesis,MMP9
Hyperforin,P15692,Literature_Quiney2006_Angiogenesis,VEGFA
Hyperforin,Q13794,Literature_Quiney2006_Blood,PMAIP1
Hyperforin,Q12879,Literature_Kumar2006_EurJPharmacol,GRIN1
Hyperforin,O15440,Literature_ABC_Transporter_Modulation,ABCC2
Quercetin,O43570,ChEMBL_API,CAV2
Quercetin,Q72547,ChEMBL_API,UGT1A8
Quercetin,P08253,ChEMBL_API,MMP2
Quercetin,Q15717,ChEMBL_API,ELOVL1
Quercetin,P00760,ChEMBL_API,ANPEP
Quercetin,P04054,ChEMBL_API,PPIA
Quercetin,P47989,ChEMBL_API,XDH
Quercetin,Q9UNQ0,ChEMBL_API,ABCG2
Quercetin,P36888,ChEMBL_API,FLT3
Quercetin,O60341,ChEMBL_API,KDR
Quercetin,P06737,ChEMBL_API,PYGL
Quercetin,P05177,ChEMBL_API,CYP1A2
Quercetin,P07947,ChEMBL_API,YES1
Quercetin,P68400,ChEMBL_API,CSNK2A1
Quercetin,P80025,ChEMBL_API,CTSH
Quercetin,Q96GD4,ChEMBL_API,AURKB
Quercetin,Q7ZJM1,ChEMBL_API,TRPM2
Quercetin,Q16678,ChEMBL_API,CYP1B1
Quercetin,P10632,ChEMBL_API,PTPN2
Quercetin,Q16790,ChEMBL_API,CA9
Quercetin,Q16512,ChEMBL_API,PKN1
Quercetin,P00915,ChEMBL_API,CA1
Quercetin,Q9UL62,ChEMBL_API,CFB
Quercetin,P05164,ChEMBL_API,MPO
Quercetin,P15056,ChEMBL_API,BRAF
Quercetin,P17988,ChEMBL_API,SLC5A2
Quercetin,P16050,ChEMBL_API,ADRB2
Quercetin,P37059,ChEMBL_API,ESRRA
Quercetin,P27986,ChEMBL_API,PIK3R1
Quercetin,P49840,ChEMBL_API,GSK3A
Quercetin,P06493,ChEMBL_API,CDK1
Quercetin,P30543,ChEMBL_API,SLC6A2
Quercetin,B4URF0,ChEMBL_API,PDZK1IP1
Quercetin,Q9ULX7,ChEMBL_API,UBE2C
Quercetin,P04798,ChEMBL_API,CYP1A1
Quercetin,O96394,ChEMBL_API,PRMT7
Quercetin,P06239,ChEMBL_API,LCK
Quercetin,P35968,ChEMBL_API,PDE6D
Quercetin,P05067,ChEMBL_API,APP
Quercetin,P04191,ChEMBL_API,LDLR
Quercetin,P31749,ChEMBL_API,AKT1
Quercetin,P00918,ChEMBL_API,CA2
Quercetin,P56817,ChEMBL_API,BACE1
Quercetin,P10584,ChEMBL_API,CHRNA1
Quercetin,P23280,ChEMBL_API,CA6
Quercetin,P12931,ChEMBL_API,SRC
Quercetin,P43166,ChEMBL_API,CA7
Quercetin,P12527,ChEMBL_API,CDK7
Quercetin,P30530,ChEMBL_API,AXL
Quercetin,Q9NYA1,ChEMBL_API,TLR4
Quercetin,Q9NPH5,ChEMBL_API,SLC23A1
Quercetin,P22303,ChEMBL_API,ACHE
Quercetin,P15121,ChEMBL_API,AKR1B1
Quercetin,Q8N6T7,ChEMBL_API,SIRT6
Quercetin,Q9UHH9,ChEMBL_API,SYK
Quercetin,P11388,ChEMBL_API,FN1
Quercetin,P08069,ChEMBL_API,IGF1R
Quercetin,P07451,ChEMBL_API,CA3
Quercetin,P07943,ChEMBL_API,ALDH2
Quercetin,P80457,ChEMBL_API,IL18BP1
Quercetin,P51635,ChEMBL_API,AKR1C2
Quercetin,P0C6X7,ChEMBL_API,CHRNA4
Quercetin,P08581,ChEMBL_API,MET
Quercetin,P21397,ChEMBL_API,MAOA
Quercetin,P14780,ChEMBL_API,MMP9
Quercetin,P08684,ChEMBL_API,CYP3A4
Quercetin,P21917,ChEMBL_API,DRD4
Quercetin,P30518,ChEMBL_API,ADRB3
Quercetin,P53355,ChEMBL_API,DAPK1
Quercetin,O94956,ChEMBL_API,SLC22A6
Quercetin,P12530,ChEMBL_API,SERPINA5
Quercetin,P21398,ChEMBL_API,ADORA1
Quercetin,Q9UBN7,ChEMBL_API,HDAC6
Quercetin,P08254,ChEMBL_API,MMP3
Quercetin,P22748,ChEMBL_API,CA4
Quercetin,Q05397,ChEMBL_API,PTK2
Quercetin,P09917,ChEMBL_API,ALOX5
Quercetin,P25099,ChEMBL_API,FSTL1
Quercetin,P11309,ChEMBL_API,PIM1
Quercetin,P33527,ChEMBL_API,ABCC1
Quercetin,O60285,ChEMBL_API,NUAK1
Quercetin,P53350,ChEMBL_API,PLK1
Quercetin,P11511,ChEMBL_API,CYP19A1
Quercetin,P00811,ChEMBL_API,ADA
Quercetin,P00533,ChEMBL_API,EGFR
Quercetin,P49841,ChEMBL_API,GSK3B
Quercetin,Q14576,ChEMBL_API,IQGAP1
