gene_symbol,compound,liver_tpm,in_lcc_700,in_lcc_900
ABCB1,Hyperforin,7.27853,True,True
ABCC2,Hyperforin,60.102,True,True
ABCG2,Hyperforin,4.0431,True,True
AKT1,Hyperforin,32.9977,True,True
CYP2B6,Hyperforin,124.628,True,True
CYP2C9,Hyperforin,433.761,True,True
CYP3A4,Hyperforin,335.297,True,True
MMP2,Hyperforin,5.30998,True,True
MMP9,Hyperforin,1.16401,True,True
NR1I2,Hyperforin,42.5814,True,True
ABCC1,Quercetin,1.55171,True,True
ABCG2,Quercetin,4.0431,True,True
ACHE,Quercetin,1.14183,True,True
ADA,Quercetin,2.01654,True,True
ADRB2,Quercetin,3.40578,True,True
AKR1B1,Quercetin,4.79219,True,True
AKR1C2,Quercetin,33.3775,True,True
AKT1,Quercetin,32.9977,True,True
ALDH2,Quercetin,183.302,True,True
ALOX5,Quercetin,2.81922,True,True
ANPEP,Quercetin,159.813,True,True
APP,Quercetin,62.6848,True,True
AXL,Quercetin,2.29976,True,True
BACE1,Quercetin,11.247,True,True
BRAF,Quercetin,3.53033,True,True
CA2,Quercetin,64.1702,True,True
CAV2,Quercetin,6.56672,True,True
CDK7,Quercetin,6.76355,True,True
CFB,Quercetin,1114.93,True,True
CHRNA4,Quercetin,24.8579,True,True
CSNK2A1,Quercetin,10.4884,True,True
CTSH,Quercetin,28.0328,True,True
CYP1A1,Quercetin,5.24803,True,True
CYP1A2,Quercetin,71.5396,True,True
CYP1B1,Quercetin,2.5965,True,True
CYP3A4,Quercetin,335.297,True,True
DAPK1,Quercetin,11.9178,True,True
EGFR,Quercetin,16.9142,True,True
ELOVL1,Quercetin,18.4607,True,True
ESRRA,Quercetin,42.3002,True,True
FN1,Quercetin,229.162,True,True
FSTL1,Quercetin,9.08041,True,True
GSK3A,Quercetin,13.3302,True,True
GSK3B,Quercetin,6.85124,True,True
HDAC6,Quercetin,45.2912,True,True
IQGAP1,Quercetin,4.13946,True,True
KDR,Quercetin,3.36219,True,True
LCK,Quercetin,1.60667,True,True
LDLR,Quercetin,22.6645,True,True
MAOA,Quercetin,34.8161,True,True
MET,Quercetin,11.5822,True,True
MMP2,Quercetin,5.30998,True,True
MMP9,Quercetin,1.16401,True,True
NUAK1,Quercetin,2.5143,True,True
PDE6D,Quercetin,4.5045,True,True
PDZK1IP1,Quercetin,1.10578,True,True
PIK3R1,Quercetin,23.9519,True,True
PIM1,Quercetin,23.8056,True,True
PKN1,Quercetin,15.6606,True,True
PLK1,Quercetin,1.20444,True,True
PPIA,Quercetin,112.357,True,True
PRMT7,Quercetin,5.00801,True,True
PTK2,Quercetin,4.4045,True,True
PTPN2,Quercetin,6.26074,True,True
PYGL,Quercetin,55.3114,True,True
SERPINA5,Quercetin,103.949,True,True
SIRT6,Quercetin,7.9737,True,True
SRC,Quercetin,2.8778,True,True
SYK,Quercetin,1.14048,True,True
TLR4,Quercetin,2.52104,True,True
XDH,Quercetin,26.0548,True,True
YES1,Quercetin,12.7032,True,True
