compound,protein_id,source
Hyperforin,O75469,Literature_Moore2000_DrugMetabDispos
Hyperforin,Q9Y210,Literature_Leuner2007_NatMed
Hyperforin,P08684,Literature_PXR_Induction
Hyperforin,P11712,Literature_PXR_Induction
Hyperforin,P20813,Literature_PXR_Induction
Hyperforin,P08183,Literature_Hennessy2002_BrJClinPharmacol
Hyperforin,Q9UNQ0,Literature_BCRP_Inhibition
Hyperforin,P31749,Literature_Quiney2006_Blood
Hyperforin,P08253,Literature_Quiney2006_Angiogenesis
Hyperforin,P14780,Literature_Quiney2006_Angiogenesis
Hyperforin,P15692,Literature_Quiney2006_Angiogenesis
Hyperforin,Q13794,Literature_Quiney2006_Blood
Hyperforin,Q12879,Literature_Kumar2006_EurJPharmacol
Hyperforin,O15440,Literature_ABC_Transporter_Modulation
Quercetin,O43570,ChEMBL_API
Quercetin,Q72547,ChEMBL_API
Quercetin,Q91WR5,ChEMBL_API
Quercetin,P08253,ChEMBL_API
Quercetin,P0AES6,ChEMBL_API
Quercetin,Q02750,ChEMBL_API
Quercetin,Q15717,ChEMBL_API
Quercetin,P00760,ChEMBL_API
Quercetin,P04054,ChEMBL_API
Quercetin,P16116,ChEMBL_API
Quercetin,Q8NFU5,ChEMBL_API
Quercetin,P47989,ChEMBL_API
Quercetin,Q9UNQ0,ChEMBL_API
Quercetin,P36888,ChEMBL_API
Quercetin,O60341,ChEMBL_API
Quercetin,P06737,ChEMBL_API
Quercetin,P05177,ChEMBL_API
Quercetin,P07947,ChEMBL_API
Quercetin,P68400,ChEMBL_API
Quercetin,P80025,ChEMBL_API
Quercetin,Q96GD4,ChEMBL_API
Quercetin,Q7ZJM1,ChEMBL_API
Quercetin,Q16678,ChEMBL_API
Quercetin,P67874,ChEMBL_API
Quercetin,P10632,ChEMBL_API
Quercetin,P45452,ChEMBL_API
Quercetin,Q965D5,ChEMBL_API
Quercetin,Q965D6,ChEMBL_API
Quercetin,Q16790,ChEMBL_API
Quercetin,Q16512,ChEMBL_API
Quercetin,P00915,ChEMBL_API
Quercetin,Q9UL62,ChEMBL_API
Quercetin,P05164,ChEMBL_API
Quercetin,P15056,ChEMBL_API
Quercetin,P17988,ChEMBL_API
Quercetin,P16050,ChEMBL_API
Quercetin,P35218,ChEMBL_API
Quercetin,P03468,ChEMBL_API
Quercetin,P37059,ChEMBL_API
Quercetin,P27986,ChEMBL_API
Quercetin,P49840,ChEMBL_API
Quercetin,P06493,ChEMBL_API
Quercetin,P30543,ChEMBL_API
Quercetin,P27487,ChEMBL_API
Quercetin,B4URF0,ChEMBL_API
Quercetin,P0DUB6,ChEMBL_API
Quercetin,P00734,ChEMBL_API
Quercetin,Q9ULX7,ChEMBL_API
Quercetin,P04798,ChEMBL_API
Quercetin,P51955,ChEMBL_API
Quercetin,O96394,ChEMBL_API
Quercetin,P06239,ChEMBL_API
Quercetin,P35968,ChEMBL_API
Quercetin,P05067,ChEMBL_API
Quercetin,P67870,ChEMBL_API
Quercetin,P04191,ChEMBL_API
Quercetin,P31749,ChEMBL_API
Quercetin,P00918,ChEMBL_API
Quercetin,P56817,ChEMBL_API
Quercetin,P10584,ChEMBL_API
Quercetin,P23280,ChEMBL_API
Quercetin,P12931,ChEMBL_API
Quercetin,Q86U44,ChEMBL_API
Quercetin,P43166,ChEMBL_API
Quercetin,P51679,ChEMBL_API
Quercetin,Q965D7,ChEMBL_API
Quercetin,P12527,ChEMBL_API
Quercetin,P30530,ChEMBL_API
Quercetin,Q9NYA1,ChEMBL_API
Quercetin,Q9NPH5,ChEMBL_API
Quercetin,P22303,ChEMBL_API
Quercetin,P15121,ChEMBL_API
Quercetin,P25024,ChEMBL_API
Quercetin,P10481,ChEMBL_API
Quercetin,Q8N6T7,ChEMBL_API
Quercetin,P21588,ChEMBL_API
Quercetin,Q9UHH9,ChEMBL_API
Quercetin,P11388,ChEMBL_API
Quercetin,Q1CTD3,ChEMBL_API
Quercetin,P08069,ChEMBL_API
Quercetin,P07451,ChEMBL_API
Quercetin,Q9HC98,ChEMBL_API
Quercetin,P18054,ChEMBL_API
Quercetin,P07943,ChEMBL_API
Quercetin,P16233,ChEMBL_API
Quercetin,P80457,ChEMBL_API
Quercetin,P51635,ChEMBL_API
Quercetin,Q9UM73,ChEMBL_API
Quercetin,P0C6X7,ChEMBL_API
Quercetin,Q04760,ChEMBL_API
Quercetin,P08581,ChEMBL_API
Quercetin,P21397,ChEMBL_API
Quercetin,P14780,ChEMBL_API
Quercetin,P08684,ChEMBL_API
Quercetin,P21917,ChEMBL_API
Quercetin,P0DTD1,ChEMBL_API
Quercetin,P30518,ChEMBL_API
Quercetin,P53355,ChEMBL_API
Quercetin,O94956,ChEMBL_API
Quercetin,P12530,ChEMBL_API
Quercetin,P21398,ChEMBL_API
Quercetin,Q9UBN7,ChEMBL_API
Quercetin,P08254,ChEMBL_API
Quercetin,P22748,ChEMBL_API
Quercetin,P28074,ChEMBL_API
Quercetin,Q05397,ChEMBL_API
Quercetin,P09917,ChEMBL_API
Quercetin,P25099,ChEMBL_API
Quercetin,Q63344,ChEMBL_API
Quercetin,O43451,ChEMBL_API
Quercetin,P11309,ChEMBL_API
Quercetin,P33527,ChEMBL_API
Quercetin,O60285,ChEMBL_API
Quercetin,P53350,ChEMBL_API
Quercetin,P69996,ChEMBL_API
Quercetin,Q9D6N1,ChEMBL_API
Quercetin,P11511,ChEMBL_API
Quercetin,P00811,ChEMBL_API
Quercetin,P00533,ChEMBL_API
Quercetin,Q13554,ChEMBL_API
Quercetin,P49841,ChEMBL_API
Quercetin,Q14576,ChEMBL_API
