mode,n_targets,mu_null,sigma_null
pinned,5,2.1961,0.38288482602474594
pinned,8,2.19566875,0.2989180849721835
pinned,10,2.1919049999999998,0.26879168695292643
pinned,15,2.1941900000000003,0.21883078066548742
pinned,20,2.194715,0.18984419605297392
pinned,30,2.1928816666666666,0.15441411275995612
pinned,40,2.1917324999999996,0.13452122859887208
pinned,60,2.1936833333333334,0.11013080480350022
pinned,62,2.1932346774193547,0.10844213236168798
pinned,80,2.19303875,0.09551273016429537
pinned_non_dili,5,2.18112,0.37949907193562404
pinned_non_dili,8,2.18661875,0.29956870814295256
pinned_non_dili,10,2.1823900000000003,0.26617830095633266
pinned_non_dili,15,2.183923333333333,0.2174866195373356
pinned_non_dili,20,2.1842125,0.18924093067766815
pinned_non_dili,30,2.1843816666666664,0.15524035449550122
pinned_non_dili,40,2.18213125,0.13440234009658278
pinned_non_dili,60,2.1844908333333333,0.10960716052427617
pinned_non_dili,62,2.184465322580645,0.10843474384442779
pinned_non_dili,80,2.183818125,0.09495631421334957
uniform,5,2.3483500000000004,0.38529764792949356
uniform,8,2.3444875,0.30598751991502854
uniform,10,2.3461199999999995,0.27186935391838485
uniform,15,2.345963333333333,0.22366600792252717
uniform,20,2.3441175,0.19170360245376192
uniform,30,2.347625,0.15659155446752407
uniform,40,2.3440675000000004,0.13749838342231518
uniform,60,2.3453583333333334,0.11203711903501744
uniform,62,2.3446161290322585,0.10912872421838231
uniform,80,2.345613125,0.09620111103950087
