metric,network_threshold,compound,n_targets_notm,n_dili_notm,observed_committed,observed_full_rebuild,observed_notm,z_notm,p_notm
shortest_path_dc,700,Hyperforin,10,84,0.6,0.6,0.6,-6.033470177113654,0.000999000999000999
shortest_path_dc,700,Quercetin,62,84,1.3387096774193548,1.3387096774193548,1.3387096774193548,-5.47029381741065,0.000999000999000999
rwr_influence,700,Hyperforin,10,84,0.1211639397384623,0.1211639397384623,0.12426933416767184,12.7422311369335,0.000999000999000999
rwr_influence,700,Quercetin,62,84,0.0326216272539358,0.03262162725393586,0.03346744848152452,5.832931647656602,0.000999000999000999
ewi_influence,700,Hyperforin,10,84,0.1448746814465393,0.14487468144653934,0.14719236777579822,11.743565136425358,0.000999000999000999
ewi_influence,700,Quercetin,62,84,0.0511089338986101,0.05110893389861012,0.051584056844191435,7.318981215428518,0.000999000999000999
shortest_path_dc,900,Hyperforin,10,82,1.3,1.3,1.3,-3.779728759573474,0.000999000999000999
shortest_path_dc,900,Quercetin,61,82,1.6774193548387095,1.6774193548387097,1.6721311475409837,-5.202190831954782,0.000999000999000999
rwr_influence,900,Hyperforin,10,82,0.1138097451680753,0.11380974516807539,0.11443001047751156,10.371384871112664,0.000999000999000999
rwr_influence,900,Quercetin,61,82,0.032171300082812,0.03217130008281201,0.032868454066702454,4.632337017807379,0.001998001998001998
ewi_influence,900,Hyperforin,10,82,0.1329740928873287,0.1329740928873287,0.13369479039727414,9.137440972745216,0.000999000999000999
ewi_influence,900,Quercetin,61,82,0.0493442089661472,0.049344208966147225,0.05010363646143648,5.9221882783904585,0.000999000999000999
